A_c,Access_prop1,Access_prop2,Acres,Addl_mo_fee,Addr,All_inc,Alt_power1,Alt_power2,Apt_num,Area,Area_code,Ass_year,Assignment,Bath_tot,Br,Br_plus,Bsmt1_out,Bsmt2_out,Cable,Cac_inc,Cd,Central_vac,Cert_lvl,Cndsold_xd,Com_coopb,Comel_inc,Community,Community_code,Comp_pts,Cond,Constr1_out,Constr2_out,County,Cross_st,Den_fr,Depth,Disp_addr,Dom,Drive,Dt_sus,Dt_ter,Easement_rest1,Easement_rest2,Easement_rest3,Easement_rest4,Elec,Elevator,Energy_cert,Extras,Farm_agri,Fpl_num,Fractional_ownership,Front_ft,Fuel,Furnished,Gar_spaces,Gar_type,Gas,Green_pis,Handi_equipped,Heat_inc,Heating,Hydro_inc,Input_date,Internet,Irreg,Kit_plus,Laundry,Laundry_lev,Ld,Lease,Lease_term,Legal_desc,Level1,Level10,Level11,Level12,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Link_comment,Link_yn,Lot_fr_inc,Lotsz_code,Lp_dol,Lsc,Lse_terms,Ml_num,Mmap_col,Mmap_page,Mmap_row,Municipality,Municipality_code,Municipality_district,Num_kit,Occ,Oh_date1,Oh_date2,Oh_date3,Oh_date4,Oh_date5,Oh_date6,Oh_dt_stamp,Oh_from1,Oh_from2,Oh_from3,Oh_from4,Oh_from5,Oh_from6,Oh_Link1,Oh_Link2,Oh_Link3,Oh_Link4,Oh_Link5,Oh_Link6,Oh_to1,Oh_to2,Oh_to3,Oh_to4,Oh_to5,Oh_to6,Oh_Type1,Oh_Type2,Oh_Type3,Oh_Type4,Oh_Type5,Oh_Type6,Orig_dol,Oth_struc1_out,Oth_struc2_out,Outof_area,Parcel_id,Park_chgs,Park_spcs,Pay_freq,Perc_dif,Pix_updt,Pool,Portion_lease_comments,Portion_property_lease1_out,Portion_property_lease2_out,Portion_property_lease3_out,Portion_property_lease4_out,Portion_property_lease_srch,Poss_date,Potl,Pr_lsc,Prkg_inc,Prop_feat1_out,Prop_feat2_out,Prop_feat3_out,Prop_feat4_out,Prop_feat5_out,Prop_feat6_out,Prop_mgmt,Pvt_ent,Retirement,Rltr,Rm10_dc1_out,Rm10_dc2_out,Rm10_dc3_out,Rm10_len,Rm10_out,Rm10_wth,Rm11_dc1_out,Rm11_dc2_out,Rm11_dc3_out,Rm11_len,Rm11_out,Rm11_wth,Rm12_dc1_out,Rm12_dc2_out,Rm12_dc3_out,Rm12_len,Rm12_out,Rm12_wth,Rm1_dc1_out,Rm1_dc2_out,Rm1_dc3_out,Rm1_len,Rm1_out,Rm1_wth,Rm2_dc1_out,Rm2_dc2_out,Rm2_dc3_out,Rm2_len,Rm2_out,Rm2_wth,Rm3_dc1_out,Rm3_dc2_out,Rm3_dc3_out,Rm3_len,Rm3_out,Rm3_wth,Rm4_dc1_out,Rm4_dc2_out,Rm4_dc3_out,Rm4_len,Rm4_out,Rm4_wth,Rm5_dc1_out,Rm5_dc2_out,Rm5_dc3_out,Rm5_len,Rm5_out,Rm5_wth,Rm6_dc1_out,Rm6_dc2_out,Rm6_dc3_out,Rm6_len,Rm6_out,Rm6_wth,Rm7_dc1_out,Rm7_dc2_out,Rm7_dc3_out,Rm7_len,Rm7_out,Rm7_wth,Rm8_dc1_out,Rm8_dc2_out,Rm8_dc3_out,Rm8_len,Rm8_out,Rm8_wth,Rm9_dc1_out,Rm9_dc2_out,Rm9_dc3_out,Rm9_len,Rm9_out,Rm9_wth,Rms,Rooms_plus,Rural_svc1,Rural_svc2,Rural_svc3,Rural_svc4,Rural_svc5,S_r,Sewage1,Sewage2,Sewer,Shore_allow,Shoreline1,Shoreline2,Shoreline_exp,Sp_dol,Spec_des1_out,Spec_des2_out,Spec_des3_out,Spec_des4_out,Spec_des5_out,Spec_des6_out,Sqft,St,St_dir,St_num,St_sfx,Status,Style,Taxes,Td,Timestamp_sql,Tot_park_spcs,Tour_url,Tv,Type_own1_out,Type_own_srch,Uffi,Unavail_dt,Util_cable,Util_tel,Vend_pis,Vtour_updt,Water,Water_acc_bldg1,Water_acc_bldg2,Water_body,Water_del_feat1,Water_del_feat2,Water_feat1,Water_feat2,Water_feat3,Water_feat4,Water_feat5,Water_front,Water_inc,Water_type,Waterfront,Wcloset_p1,Wcloset_p2,Wcloset_p3,Wcloset_p4,Wcloset_p5,Wcloset_t1,Wcloset_t1lvl,Wcloset_t2,Wcloset_t2lvl,Wcloset_t3,Wcloset_t3lvl,Wcloset_t4,Wcloset_t4lvl,Wcloset_t5,Wcloset_t5lvl,Wtr_suptyp,Xd,Xdtd,Yr,Yr_built,Zip,Zoning,Ad_text
Central Air,,,100+,,1338 Mcdonald Rd,,,,,Northumberland,13,,,2,4,,Part Bsmt,Unfinished,,,,,,,2%,,Rural Alnwick/Haldimand,13.04.0010,E,,Stone,Wood,Ontario,County Rd & Mcdonald Rd,Y,2705.5,Y,151,Pvt Double,,,,,,,Y,,,All this and more just 1 1/2 hour East of the GTA in the heart of Northumberland County. This journey of life we are on is once in a lifetime opportunity.,Mixed Use,N,,3269.27,Wood,,35,Detached,N,,,,Other,,51:00.0,Y,,,,Lower,00:00.0,,,HALDIMAND CON 8 PT LOTS 16 - See Schedule B,Main,2nd,2nd,,Main,Main,Main,Main,Main,2nd,2nd,2nd,,N,,Feet,2995000,Exp,,X7264226,,,,Alnwick/Haldimand,13.04,Alnwick/Haldimand,1,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2995000,Drive Shed,,,512280174,,100,,,51:32.0,None,,,,,,,,,New,,Part Cleared,River/Stream,Rolling,,,,,,,ROYAL LEPAGE PROALLIANCE REALTY,,,,3.58,4th Br,2.94,4 Pc Bath,,,3.58,Bathroom,3.04,,,,,,,,,,5.71,Sunroom,5.08,,,,2.76,Kitchen,7.13,,,,2.94,Dining,7.11,,,,4.24,Family,7.28,,,,6.01,Living,5.68,2 Pc Bath,,,1.67,Bathroom,0.88,,,,5.71,Prim Bdrm,6.78,,,,3.81,2nd Br,3.73,,,,3.81,2nd Br,3.86,11,,,,,,,Sale,,,Septic,,,,,,Unknown,,,,,,2500-3000,Mcdonald,,1338,Rd,U,1 1/2 Storey,6000,,34:20.0,135,,,Detached,.D.,,00:00.0,N,A,N,,Well,,,,,,,,,,,,,,None,2,4,,,,1,Main,1,2nd,,,,,,,Drilled Well,00:00.0,,2023,100+,K0K 2X0,ORM,"Only once in a lifetime do we find something this special! Welcome to this sprawling County Estate featuring a classic split stone farmhouse circa 1874 with a wrap around porch and surrounded by 152 acres of tranquil countryside. The home's main floor features a spacious eat-in kitchen with hand crafted maple cupboards & Cambria quartz countertops and dining area. Enjoy relaxing in the bright sunroom off the kitchen with a walkout to the back patio & hot tub. Plenty of room for entertaining in the family room or living room all on the main floor. The upper level space hosts the large primary bedroom, as well as 3 additional bedrooms and a 4 piece bath. The large barn/storage shed had originally been built as a dairy barn and now has hosted wedding venues, large storage of vehicles & recreational trailers. The park-like lands consist of 70 workable acres, hardwood & maple forest, pasture, some wetlands as well as the Burnley creek and a small stream meandering through the property."
None,,,10-24.99,,315338 Highway 6,,,,,Grey County,8,2023,,2,1,,Unfinished,,,,,,,,2%-1% If La Shows Prop To Buyer Via Appt,,Rural Chatsworth,08.03.0010,W,,Brick,Vinyl Siding,Ontario,Hwy 6,Y,646.98,Y,155,Private,,,,,,,Y,,,,,N,,858,Propane,,1,Attached,N,,,,Forced Air,,17:22.0,Y,,,,Main,00:00.0,,,PT LT 28 CON 1 DIVISION 2 SULLIVAN; PT LT 28 CON 1 DIVISION 3 SULLIVAN AS IN R542761; CHATSWORTH,Ground,,,,Ground,Ground,Ground,Ground,Bsmt,Bsmt,,,,N,,Feet,995000,New,,X7265750,,,,Chatsworth,8.03,Chatsworth,1,Immediate/flex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995000,Workshop,,,,,10,,,17:26.0,None,,,,,,,,,,,Lake/Pond,Part Cleared,,,,,,,,KELLER WILLIAMS REALTY CENTRES,,,,,,,,,,,,,,,,,,,,,,3.17,Laundry,1.98,,,,3.96,Kitchen,4.98,,,,6.55,Living,6.55,,,,2.84,Foyer,2.54,W/I Closet,2 Pc Bath,,3.96,Br,3.96,,,,11.68,Other,3.94,Irregular Rm,,,11.68,Other,3.94,,,,,,,,,,,,,3,,,,,,,Sale,,,Septic,,,,,,Unknown,,,,,,1100-1500,Highway 6,,315338,,A,Bungalow,3679.82,,34:10.0,11,,285000,Detached,.D.,,,A,A,N,,Well,,,,,,,,,,,,,,,2,4,,,,1,Ground,1,Ground,,,,,,,,00:00.0,,2023,31-50,N0H 2V0,A1 & EP,"Paradise for the outdoors lover, this property has so much to offer! 12.75 acres of mostly treed land hosts a brick bungalow with 1 car oversized garage, a 62' x 32' barn/workshop with full loft, 2 beautiful ponds (one with sprinkler system) and so much more. Main level living is available in the 1164 sq ft bungalow, where you'll find a spacious bedroom with walk in closet and 2 pc ensuite, living room, kitchen, laundry & another 4 pc bath. Patio doors lead out to the back deck with wedding cake style stairs overlooking the lovely yard and ponds. The lower level of the home offers potential to be finished, along with a new propane furnace installed in 2023, owned hot water tank, 2 sump pumps, and transfer switch for the included Generac generator. Out in the workshop, which has hydro and water, you'll have plenty of space for storage, hobbies, and even your own man cave! Seller is in the process of adding a second bedroom to the lower level."
,,,5-9.99,,1070 Bacon Rd,,,,,Haliburton,27,,,0,,,,,,,,,,,2.5% + Hst,,,,N,,,,Ontario,County Rd 503 & Bacon Rd,,0,Y,152,,,,,,,,A,,,,,,,0,,,,,N,,,,,,01:23.0,Y,Irregular,,,,00:00.0,,,"Part Lots 17, 18, Concession 1 Snowdon Designated",,,,,,,,,,,,,,,,Acres,389900,Exp,,X7266414,,,,Minden Hills,27.03,Minden Hills,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389900,,,,392200287,,,,,01:24.0,None,,,,,,,,,New,,,,,,,,,,,ROYAL LEPAGE TERREQUITY COMPASS REALTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,None,,,,,,Unknown,,,,,,,Bacon,,1070,Rd,U,,648.81,,34:09.0,,,,Vacant Land,.V.,,00:00.0,N,N,N,,None,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,,2022,,K0M 2A1,,Discover The Possibilities For This 6 Acre Lot!  The Property Has A Limestone Driveway Leads You From The Main Road To The 12X24 Amish Built Cabin That Is Currently Situated On The Lot. The Cabin Has A Pacific Energy Wood Stove & Is Spray Foam Insulated. Mixture Of Hard And Soft Wood Trees. Natural Spring & Stream On The Property.
Central Air,,,2-4.99,,2990 West Shore Rd,,,,,Haliburton,27,2023,,4,4,,Fin W/O,,,,00:00.0,,,,3%,,,,E,,Stone,Wood,Ontario,Kennisis Lake Rd/West Shore Rd,Y,510.89,Y,146,Private,,,,,,,Y,,,"Large drive off year round municipal road, just 30m to Haliburton. Completely turnkey with incredible details throughout making it easy to rent. Dream package on prestigious West Shore of Kennisis Lake!",,Y,,255,Propane,,3,Detached,N,,,,Forced Air,,41:23.0,Y,,,,,00:00.0,,,"LT 48 PL 587 EXCEPT PT 2, 19R6979; *Realtor Rem",Main,Bsmt,Bsmt,Bsmt,Main,Main,Main,Main,Main,Main,2nd,2nd,,N,,Feet,2999900,Sld,,X7267142,,,,Dysart et al,27.02,Dysart et al,1,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2999900,,,,392610074,,5,,93,08:27.0,None,,,,,,,,,Sc,,Campground,Golf,Marina,School,Waterfront,,,,,BALL REAL ESTATE INC.,,,,3.94,Br,3.64,,,,5.17,Rec,7.01,,,,2.07,Laundry,2.17,,,,2.46,Foyer,2.14,,,,6.99,Kitchen,5.63,,,,10.05,Living,8.14,,,,4,Dining,4.09,,,,5.3,Prim Bdrm,4.7,,,,3.93,Sunroom,4.59,,,,4.34,Mudroom,1.72,,,,3.13,Br,4.55,,,,3.06,Br,4.55,19,,,,,,,Sale,,,Septic,,,,,2800000,Unknown,,,,,,3500-5000,West Shore,,2990,Rd,U,2-Storey,9509,00:00.0,35:00.0,8,https://youriguide.com/2990_west_shore_rd_haliburton_on/,1349000,Detached,.D.,,00:00.0,A,A,N,,Well,,,Kennisis,,,,,,,,,,Lake,Direct,2,5,3,4,,1,Main,1,Main,1,2nd,1,Bsmt,,,Drilled Well,00:00.0,,2023,16-30,K0M 1S0,Waterfront Residential,"Stunning custom lakehouse with 255' of prime waterfront on desirable Kennisis Lake! Private 2.5 acre natural lot with S/E exposure for all day sun. Enjoy deep off dock swimming or gentle wade-in down stone steps. Elegant 2 storey, completely furnished, 4 bedrooms, 3.5 bathrooms & full walkout basement. Bright open concept great room showcasing custom propane FP with vaulted ceilings & windows capturing breathtaking sunrise views. Custom kitchen with tiered island, open to dining rm & lakeside deck. Lovely sunroom with propane FP and WO to spacious deck + screened-in gazebo. Private main fl primary bed with sunrise views from bed, private deck, WIC & luxurious 5pc ensuite. Walkout basement with full games rm, laundry, storage & home gym. Walkout to lakeside lot with flagstone firepit & elaborate lakeside deck+ docking system with easy lift dock. Prime fishing & boating with rare opportunity to launch boat from your own lot. Detached triple garage, insulated, heated & excellent storage."
None,,,< .50,,523 Cannon St E,,,,,Hamilton,7,2022,N,4,4,,Fin W/O,,,,,,,,2.0% + Hst,,Gibson,07.01.1120,S,,Alum Siding,Brick,Ontario,Cannon St E/Birch Ave,Y,115.5,Y,152,Pvt Double,,,,,,,,,N,,,Y,N,24,Gas,,0,None,,N,N,,Forced Air,,12:44.0,Y,,,,,00:00.0,,,"PT LT 7, PL 143 , AS IN CD358954 ; HAMILTON",Main,Bsmt,Bsmt,,Main,Main,2nd,2nd,3rd,3rd,Bsmt,Bsmt,,,,Feet,759000,Exp,,X7267348,,,,Hamilton,7.01,Hamilton,3,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759000,,,,171960100,,2,,,12:57.0,None,,,,,,,,N,New,,,,,,,,,,N,REVEL REALTY INC.,,,,2.97,Br,3.94,,,,3.1,Utility,2.16,,,,,,,,,,3.71,Living,3.28,,,,3.38,Kitchen,3.28,,,,3.56,Br,4.67,,,,6.35,Family,3.25,,,,4.52,Kitchen,4.32,,,,4.37,Br,2.97,,,,3.96,2nd Br,1.8,,,,4.62,Living,2.57,,,,4.47,Kitchen,2.44,7,,,,,,,Sale,,,Sewers,,,,,,Unknown,,,,,,2000-2500,Cannon,E,523,St,U,2 1/2 Storey,3515,,16:15.0,2,https://iframe.videodelivery.net/0198ebdcf69619577674c432992f1731,,Duplex,.J.,,00:00.0,,,N,,Municipal,,,,,,,,,,,,,,,4,2,4,3,,1,Main,1,2nd,1,3rd,1,Bsmt,,,,00:00.0,,2022,100+,L8L 2E6,D,"Turnkey legal duplex property on 24 x 116 lot! This all brick 2.5 storey has undergone recent top-to-bottom renovations. With three separate units and space for up to six cars in the rear of the property. Potential monthly income of $5,050 with an existing lower tenant. Unit#1 is 902 sq ft & boasts a well-designed layout with 1 bedroom, 4PC bathroom, in-suite laundry, and open-concept kitchen with quartz countertops, decor backsplash, pot lights, stainless steel appliances, breakfast bar, wide plank flooring, and a small office nook. It's perfect for comfortable living. Unit #2 Upper 1.5 Storey: Offers a generous 1,175 sq ft of space, which includes 2 bedrooms, 4PC and 2PC bathroom, spacious open-concept kitchen with white quartz countertops, breakfast bar, stylish backsplash, stainless steel appliances, wide plank flooring, and pot lights. The basement offers a separate entrance & provides 505 sq ft of living space, featuring 1 bedroom, 3PC bathroom, a well-equipped kitchen."
Central Air,,,50-99.99,,13382 Highway 38  N,,,,,Frontenac,30,,,4,4,1,Fin W/O,Finished,,,,,,,2% - $50 Mkt Fee,,,,E,,Brick,,Ontario,Highway 38 And Shibley Road,Y,109.37,Y,154,Circular,,,,,,,Y,N,,property can be rented on Airbnb and making good money.,,Y,,161.27,Electric,,3,Attached,N,,N,,Forced Air,,25:56.0,Y,,,,Main,00:00.0,,,PT LT 7 CON 1 OSO PT 1 & 3 13R8839 EXCEPT PT 1 & 2,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,Main,,,,Feet,1650000,New,,X7267810,,,,Central Frontenac,30.02,Central Frontenac,1,TBD & Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650000,Aux Residences,,,,,11,,,26:21.0,Inground,,,,,,,,,,,,,,,,,,,N,HOMELIFE/MIRACLE REALTY LTD,5 Pc Ensuite,Tile Floor,,,Bathroom,,Balcony,,,4.14,2nd Br,4.04,5 Pc Bath,Tile Floor,,4.04,Bathroom,2.41,,,,4.72,Foyer,3.48,,,,6.43,Living,4.72,,,,4.32,Dining,4.11,,,,5.56,Kitchen,3.02,,,,4.75,Breakfast,3.4,,,,7.67,Family,5.13,,,,3.1,Laundry,2.11,,,,4.39,Pantry,1.22,Balcony,5 Pc Bath,W/O To Deck,4.73,,5.13,4,1,,,,,,Sale,,,Septic,,,,,,Unknown,,,,,,,Highway 38,N,13382,,A,Bungalow,8752.9,,34:30.0,14,,,Rural Resid,.R.,,,N,Y,N,,Well,,,,,,,,,,,,,,None,3,5,5,3,,1,,1,,1,,1,,,,Drilled Well,00:00.0,,2023,16-30,K2H 2P0,Rural Residential,"This 77-Acre Waterfront Estate In Sharbot Lake Is Perfectly Located Close To The Village, Trails, Amenities, Public Schools & Is Within Commutable Distance To Kingston & Ottawa. Mature Trees, Landscaped Gardens & A Breathtaking Pond Welcome You To A Large Circular Driveway Which Leads To The Main House That Features Close To 6000 Square Feet Of Living Space. Large Principal Rooms, Large Bedrooms With Walk-Out, Country Kitchen & Main Floor Family Rm. The family room is a warm comfortable space with built in shelving and a fireplace complete with a beautiful hearth.The bedrooms are spacious and bright with the master being an incredible space with floor to ceiling windows and a spa like 5 piece ensuite. Each rooms has its own private walkout to the beautifully landscaped gardens. Inclusions: Lower Level With Gigantic Games/Family Rm, Gym, Office, Bedroom, 3Pce Bath, Storage, & Walk-Out. The Fenced In Backyard & Pool Area and Hot Tub Is An Entertainer's Paradise"
Central Air,,,,,11 Carlow Crt,,,,,Hastings,28,,,3,3,,Full,Unfinished,,,00:00.0,,,,2%,,,,E,,Brick,,Ontario,Brimley Crt,Y,0,Y,27,Pvt Double,,,,,,,,,,Current home inspection is available. Offers will be presented on March 13th.,,Y,,47.17,Gas,,2,Attached,,,,,Forced Air,,28:48.0,Y,Pie Shape,,,Main,00:00.0,,,PCL 8-1 SEC 21M106; LT 8 PL 21M106 THURLOW; S/T LT19461; BELLEVILLE; COUNTY OF HASTINGS,Main,Main,Bsmt,Main,Main,Main,Main,Main,2nd,2nd,2nd,2nd,,N,,Feet,599000,Sld,,X8117576,,,,Belleville,28.14,Belleville,1,Immediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,,,,404910015,,4,,100,29:03.0,None,,,,,,,,,Sc,,,,,,,,,,,GORDON`S DOWNSIZING & ESTATE SERVICES LTD.,,,,4.29,Laundry,2.95,,,,3.88,Utility,4.39,,,,2.58,Foyer,5.57,,,,3.45,Living,4.71,Fireplace,,,3.97,Family,4.44,,,,4.96,Dining,3.41,,,,3.82,Kitchen,3.29,,,,3.82,Breakfast,2.99,W/I Closet,4 Pc Ensuite,,3.79,Prim Bdrm,4.75,,,,4.28,Br,3.36,,,,3.45,Br,5.48,,,,6.12,Rec,7.36,5,4,,,,,,Sale,,,Sewers,,,,,600501,Unknown,,,,,,2500-3000,Carlow,,11,Crt,U,2-Storey,6341,00:00.0,01:47.0,6,https://my.matterport.com/show/?m=X2wvBRaadb2&mls=1,,Detached,.D.,,00:00.0,,,N,,Municipal,,,,,,,,,,,,,,None,4,4,2,,,1,2nd,1,2nd,1,Main,,,,,,00:00.0,,2023,31-50,K8N 5R2,R2 Residential,"Welcome to this executive 2-story 3-bedroom home in Belleville's coveted neighborhood. Its handsome brick exterior and durable metal roof welcome you. Inside, the double-height foyer bathes the space in natural light. A versatile living room/den sits to the left, perfect for guests or quiet evenings. The expansive eat-in kitchen features a gas range and ample cabinetry. Access the deck seamlessly from the eating area. Entertain in the open-concept dining room and sunken living room with a wood-burning fireplace. Upstairs, find three well-appointed bedrooms, including a primary suite with walk-in closet and full ensuite bathroom. A bonus family room awaits above the garage. The basement offers potential, with framing and rough-in for a future bathroom. Outside, enjoy the large fenced lot with perennial gardens, deck, and patio area for summer gatherings or quiet evenings."
,,,.50-1.99,,Lot 16 Shawnee Tr,,,,,USA,Z00,,,0,,,,,,,,,,,2.50%,,,,N,,,,,Happy Valley Church/Old Villa,,0,Y,380,None,,,,,,,Y,,,Seller Will Provide Financing For Over 90% Of Purchase Price!,,,,0.51,,,,,N,,,,,,00:00.0,Y,,,,,00:00.0,,,"Lot 16, Landlot 445&492, 2nd Dist,3rd Sect, Ga,Usa",,,,,,,,,,,,,,,,Acres,69990,Pc,,Z5979191,,,,Out of Area,Z00.21,Out of Area,,Tba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59500,,,Dallas,,,,,,41:22.0,None,,,,,,,,,New,,Cul De Sac,,,,,,,,,"CENTURY 21 HERITAGE GROUP LTD., BROKERAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,None,,,,,,Unknown,,,,,,,Shawnee,,Lot 16,Tr,A,,312.84,,04:10.0,,,,Vacant Land,.V.,,,A,Y,N,,Municipal,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,,2022,,,R2,"Seller Financing Available! Beautiful Well Treed Estate Building Lot. Easy 25 Mins. To Atlanta, Ga. Over ? Acre In Upscale Wynchester Station Subdivision Near Trail System And Retail Commercial And Medical Facilities, Many Area Amenities. Ideal For Building Your Dream Home Or Investment."
Other,,,,,1 Puntarenas-Golfito St,,,,,Other Country,Z99,,,1,2,,None,,,,,,,,3% + Many Thanks!,,,,N,,Concrete,,,Puntarenas-Golfito,N,73,Y,155,Private,,,,,,,Y,,,,,N,,53,Gas,,0,None,,,,,Forced Air,,40:24.0,Y,,,,,00:00.0,,,PUNTARENAS-GOLFITO DISTRITO DE PUERTO JIMENEZ,,,,,,,,,,,,,,N,,Feet,198000,Ext,,Z7269374,,,,Costa Rica,Z99.13,Costa Rica,1,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205000,,,,,,2,,,51:07.0,None,,,,,,,,,Exp,,,,,,,,,,,MAIN STREET REALTY LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,Sale,,,Septic,,,,,,Unknown,,,,,,700-1100,Puntarenas-Golfito,,1,St,A,Bungalow,195,,34:10.0,2,,,Detached,.D.,,,,Y,N,,Municipal,,,,,,,,,,,,,,,4,,,,,1,Main,,,,,,,,,,00:00.0,45:32.0,2023,0-5,,,"That sounds like a truly idyllic property! Nestled on the Osa Peninsula, by the serene Golfo Dulce, this brand new cozy house offers the perfect blend of tranquility and adventure. Here are some key highlights:Location:Southern Costa Rica, Osa Peninsula3km from a quiet beach20 minutes from Puerto Jimenez3.5km from La PalmaFeatures:Brand new constructionCozy and inviting atmosphereIdeal for relaxation and enjoying natureActivities:Swimming and sunbathing on the nearby beachFishing in the Golfo DulceDolphin watchingVersatility:Suitable for use as a vacation home, AirB&B, or permanent residencePrice: $147,500 USD (motivated seller)If you're seeking a charming escape in a breathtaking Costa Rican location, this property definitely merits your consideration!"
None,,,,,127 Summerhill Ave,,,,Unit 1,Toronto,1,,,1,1,,None,,,,,,,,Half Month's Rent + Hst,Y,Rosedale-Moore Park,01.C09.0820,N,,Brick,,Ontario,Yonge & Summerhill,N,,Y,149,Private,,,,,,,,,,"Furniture and Kitchen Accessories (Bed, Dresses, Couch, Cutlery) Fridge, Stove/Oven, Range Exhaust, Washer/Dryer, Microwave, Shower Coverings & All ELF & All Window Coverings is all included.",,N,,,Electric,Y,0,None,,,,,Baseboard,,54:07.0,Y,,,Ensuite,,00:00.0,Y,1 Year,,Main,,,,Main,Main,Upper,,,,,,,,,,3500,Ext,,C7277018,,,,Toronto,01.C09,Toronto C09,1,Immediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,,,,,,1,Monthly,,54:15.0,None,,2nd Floor,Main,,,.AD.AC.,,,Pc,,Hospital,Park,Public Transit,Ravine,River/Stream,,,Y,,FOREST HILL REAL ESTATE INC.,,,,,,,,,,,,,,,,,,,W/O To Balcony,Window,Combined W/Living,,Kitchen,,Window,Combined W/Kitchen,Hardwood Floor,,Living,,Window,Combined W/Kitchen,Hardwood Floor,,Dining,,Balcony,Large Closet,Hardwood Floor,,Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,Lease,,,Sewers,,,,,,Unknown,,,,,,700-1100,Summerhill,,127,Ave,A,2-Storey,,,33:59.0,1,,,Triplex,.K.,,,,,N,,Municipal,,,,,,,,,,,,Y,,,4,,,,,1,Upper,,,,,,,,,,00:00.0,34:59.0,,,M4T 1B1,,"No More Condo Living, Enjoy Your New Home in a Rarely Offered 2 Storey - 1 Bedroom Unit. Located in One Of Toronto's Best & Most Expensive Neighbourhoods at - Summerhill. The space Offers Lots Of Natural Light With Large Windows and a Spacious Feel. The Main Floor Is an Open Concept with an Entertaining Space With a Combined Kitchen and Living Room. Upstairs a Quiet Bedroom With an Ensuite Washroom And your private Deck. Access To Your Unit Through Private Outdoor Stairs and a private porch. Close To Everything: A short five-minute walking distance to the Summerhill TTC Subway on Yonge Street. Living here and take advantage of the many grocery stores nearby, eating out at the fine and gourmet restaurants walking the shops with the numerous boutiques, and strolling the David Balfour Park with Beautiful Views of the Toronto Skyline or Walk Trails of the nearby ravine. Furnished or not, flexible depending on your needs and wants."
