A_c,Access_prop1,Access_prop2,Addl_mo_fee,Addr,All_inc,Alt_power1,Alt_power2,Apt_num,Area,Area_code,Ass_year,Assignment,Bath_tot,Bldg_amen1_out,Bldg_amen2_out,Bldg_amen3_out,Bldg_amen4_out,Bldg_amen5_out,Bldg_amen6_out,Br,Br_plus,Bsmt1_out,Bsmt2_out,Cable,Cac_inc,Cd,Central_vac,Cert_lvl,Cndsold_xd,Com_coopb,Comel_inc,Community,Community_code,Cond,Cond_txinc,Condo_corp,Condo_exp,Constr1_out,Constr2_out,Corp_num,County,Cross_st,Den_fr,Disp_addr,Dom,Dt_sus,Dt_ter,Easement_rest1,Easement_rest2,Easement_rest3,Easement_rest4,Elevator,Energy_cert,Ens_lndry,Extras,Fpl_num,Fractional_ownership,Fuel,Furnished,Gar,Gar_type,Green_pis,Handi_equipped,Heat_inc,Heating,Hydro_inc,Input_date,Insur_bldg,Internet,Kit_plus,Laundry,Laundry_lev,Ld,Level1,Level10,Level11,Level12,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Locker,Locker_lev_unit,Locker_num,Locker_unit,Lp_dol,Lsc,Maint,Ml_num,Mmap_col,Mmap_page,Mmap_row,Municipality,Municipality_code,Municipality_district,Num_kit,Occ,Oh_date1,Oh_date2,Oh_date3,Oh_date4,Oh_date5,Oh_date6,Oh_dt_stamp,Oh_from1,Oh_from2,Oh_from3,Oh_from4,Oh_from5,Oh_from6,Oh_Link1,Oh_Link2,Oh_Link3,Oh_Link4,Oh_Link5,Oh_Link6,Oh_to1,Oh_to2,Oh_to3,Oh_to4,Oh_to5,Oh_to6,Oh_Type1,Oh_Type2,Oh_Type3,Oh_Type4,Oh_Type5,Oh_Type6,Orig_dol,Outof_area,Parcel_id,Park_chgs,Park_desig,Park_desig_2,Park_fac,Park_lgl_desc1,Park_lgl_desc2,Park_spc1,Park_spc2,Park_spcs,Patio_ter,Perc_dif,Pets,Pix_updt,Portion_lease_comments,Portion_property_lease_srch,Portion_property_lease1_out,Portion_property_lease2_out,Portion_property_lease3_out,Portion_property_lease4_out,Poss_date,Pr_lsc,Prkg_inc,Prop_feat1_out,Prop_feat2_out,Prop_feat3_out,Prop_feat4_out,Prop_feat5_out,Prop_feat6_out,Prop_mgmt,Pvt_ent,Retirement,Rltr,Rm1_dc1_out,Rm1_dc2_out,Rm1_dc3_out,Rm1_len,Rm1_out,Rm1_wth,Rm10_dc1_out,Rm10_dc2_out,Rm10_dc3_out,Rm10_len,Rm10_out,Rm10_wth,Rm11_dc1_out,Rm11_dc2_out,Rm11_dc3_out,Rm11_len,Rm11_out,Rm11_wth,Rm12_dc1_out,Rm12_dc2_out,Rm12_dc3_out,Rm12_len,Rm12_out,Rm12_wth,Rm2_dc1_out,Rm2_dc2_out,Rm2_dc3_out,Rm2_len,Rm2_out,Rm2_wth,Rm3_dc1_out,Rm3_dc2_out,Rm3_dc3_out,Rm3_len,Rm3_out,Rm3_wth,Rm4_dc1_out,Rm4_dc2_out,Rm4_dc3_out,Rm4_len,Rm4_out,Rm4_wth,Rm5_dc1_out,Rm5_dc2_out,Rm5_dc3_out,Rm5_len,Rm5_out,Rm5_wth,Rm6_dc1_out,Rm6_dc2_out,Rm6_dc3_out,Rm6_len,Rm6_out,Rm6_wth,Rm7_dc1_out,Rm7_dc2_out,Rm7_dc3_out,Rm7_len,Rm7_out,Rm7_wth,Rm8_dc1_out,Rm8_dc2_out,Rm8_dc3_out,Rm8_len,Rm8_out,Rm8_wth,Rm9_dc1_out,Rm9_dc2_out,Rm9_dc3_out,Rm9_len,Rm9_out,Rm9_wth,Rms,Rooms_plus,Rural_svc1,Rural_svc2,Rural_svc3,Rural_svc4,Rural_svc5,S_r,Secgrd_sys,Sewage1,Sewage2,Share_perc,Shore_allow,Shoreline_exp,Shoreline1,Shoreline2,Sp_dol,Spec_des1_out,Spec_des2_out,Spec_des3_out,Spec_des4_out,Spec_des5_out,Spec_des6_out,Sqft,St,St_dir,St_num,St_sfx,Status,Stories,Style,Taxes,Td,Timestamp_sql,Tot_park_spcs,Tour_url,Tv,Type_own_srch,Type_own1_out,Uffi,Unavail_dt,Unit_num,Vend_pis,Vtour_updt,Water_acc_bldg1,Water_acc_bldg2,Water_body,Water_del_feat1,Water_del_feat2,Water_feat1,Water_feat2,Water_feat3,Water_feat4,Water_feat5,Water_front,Water_inc,Water_type,Wcloset_p1,Wcloset_p2,Wcloset_p3,Wcloset_p4,Wcloset_p5,Wcloset_t1,Wcloset_t1lvl,Wcloset_t2,Wcloset_t2lvl,Wcloset_t3,Wcloset_t3lvl,Wcloset_t4,Wcloset_t4lvl,Wcloset_t5,Wcloset_t5lvl,Xd,Xdtd,Yr,Yr_built,Zip,Zoning,Ad_text
Central Air,,,,781 Erie St E,,,,202,Essex,50,,,1,Bike Storage,Rooftop Deck/Garden,,,,,0,,Unfinished,,,,,,,,2.00%,Y,,,,,TBA,E,Brick,,0,Ontario,Marentette,Y,Y,154,,,,,,,Y,,,,Y,,Gas,,5,Built-In,,Y,,Forced Air,,30:45.0,Y,Y,,Ensuite,Main,00:00.0,,,,,,,,,,,,,Owned,Bas,Tba,Tba,399990,New,265,X7264524,,,,Windsor,50.01,Windsor,1,45-60 DAYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399990,,11650871,,None,,Private,0,,,,0,Open,,Restrict,30:52.0,,,,,,,00:00.0,,,Public Transit,School,School Bus Route,,,,Tba,,,RE/MAX PARAMOUNT REALTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,Sale,,,,,,,,,,Unknown,,,,,,700-799,Erie,E,781,St,A,2,Bachelor/Studio,0,,34:10.0,0,,,.2.,Comm Element Condo,,,202,N,,,,,,,,,,,,,Y,,3,,,,,1,Main,,,,,,,,,00:00.0,,2023,New,N9A 3Y3,RES,"Welcome to the newest edition to Erie St- the highly anticipated Bella Vista Condominiums. These upscale condos are conveniently located in the heart of Erie St. with amenities just steps away from your door. Beautifully designed wheelchair accessible studio unit condo boasts a perfect blend of modern elegance and urban convenience. With 9'9"" high ceilings and an abundance of natural light, this residence offers a truly open and airy feel. Open concept living room, dining area, bedroom, large kitchen & lots of natural light throughout. Ceramic tile floors throughout & custom cabinetry, s/s appl., ensuite laundry & private balcony. This condo offers a rare opportunity to live in a space that seamlessly blends, comfort, luxury, sophistication and urban convenience. Unit comes with locker. Experience a unique amenity space on the rooftop boasting 365 degree views of the city. * Unit designed for accessibility w/ larger washroom & no waterfall island."
Central Air,,,,781 Erie St E,,,,203,Essex,50,,,1,Bike Storage,Rooftop Deck/Garden,,,,,1,,Unfinished,,,,,,,,2% + Hst,Y,,,,,TBA,E,Brick,,0,Ontario,Marentette,Y,Y,154,,,,,,,Y,,,Light fixtures are inter-changable with other options available (included),Y,,Gas,,0,Built-In,,,,Forced Air,,32:10.0,Y,Y,,Ensuite,,00:00.0,,,,,,,,,,,,,Owned,Bas,Tba,Tba,399990,New,265,X7264532,,,,Windsor,50.01,Windsor,1,45-60 DAYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399990,,11650871,,None,,None,,,,,0,Open,,Restrict,32:18.0,,,,,,,00:00.0,,,Public Transit,Rec Centre,School,School Bus Route,,,Tba,,,RE/MAX PARAMOUNT REALTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,Sale,,,,,,,,,,Unknown,,,,,,700-799,Erie,E,781,St,A,2,Apartment,0,,34:12.0,0,,,.2.,Comm Element Condo,,,203,N,,,,,,,,,,,,,Y,,3,,,,,1,Main,,,,,,,,,00:00.0,,2023,New,N9A 3Y3,RES,"Welcome to the newest edition to Erie St- the highly anticipated Bella Vista Condominiums. These upscale condos are conveniently located in the heart of Erie St. with amenities just steps away from your door. Beautifully designed 2nd Floor studio condo unit boasts a perfect blend of modern elegance & urban convenience. With 9'9"" high ceilings & an abundance of natural light, this residence offers an open & airy feel. Open concept living room, dining area, bedroom, large kitchen with waterfall sit-up island & lots of natural light throughout. Ceramic tile floors throughout & custom cabinetry, s/s appliances., ensuite laundry & large balcony. This condo offers an opportunity to live in a space that seamlessly blends, comfort, luxury, sophistication & urban convenience. Unit comes with locker. Experience a unique amenity space on the rooftop boasting 365 degree views of the city."
Central Air,,,,781 Erie St E,,,,302,Essex,50,,,1,Bike Storage,Rooftop Deck/Garden,,,,,1,,Unfinished,,,,,,,,2% + Hst,Y,,,,,TBA,E,Brick,,0,Ontario,Marentette,Y,Y,154,,,,,,,Y,,,Light fixtures are inter-changable with more options available (included),Y,,Gas,,0,Built-In,,,,Forced Air,,35:55.0,Y,Y,,Ensuite,,00:00.0,,,,,,,,,,,,,Owned,Bas,Tba,Tba,399990,New,265,X7264566,,,,Windsor,50.01,Windsor,1,45-60 DAYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399990,,11650871,,None,,None,,,,,0,Open,,Restrict,36:14.0,,,,,,,00:00.0,,,Public Transit,Rec Centre,School,School Bus Route,,,Tba,,,RE/MAX PARAMOUNT REALTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,Sale,,,,,,,,,,Unknown,,,,,,700-799,Erie,E,781,St,A,3,Apartment,0,,34:12.0,0,,,.2.,Comm Element Condo,,,302,N,,,,,,,,,,,,,Y,,3,,,,,1,Main,,,,,,,,,00:00.0,,2023,New,N9A 3Y3,RES,"Welcome to the newest edition to Erie St- the highly anticipated Bella Vista Condominiums. These upscale condos are conveniently located in the heart of Erie St. with amenities just steps away from your door. Beautifully designed 3rd floor studio condo unit boasts a perfect blend of modern elegance & urban convenience. With 9'9"" high ceilings & an abundance of natural light, this residence offers an open & airy feel. Open concept living room, dining area, bedroom, large kitchen with waterfall sit-up island & lots of natural light throughout. Ceramic tile floors throughout & custom cabinetry, stainless steel appliances., ensuite laundry & large balcony. This condo offers an opportunity to live in a space that seamlessly blends, comfort, luxury, sophistication & urban convenience. Unit comes with locker. Experience a unique amenity space on the rooftop boasting 365 degree views of the city."
Central Air,,,,781 Erie St E,,,,304,Essex,50,,,1,Bike Storage,Rooftop Deck/Garden,,,,,1,,Unfinished,,,,,,,,2% + Hst,Y,,,,,TBA,Ew,Brick,,0,Ontario,Marentette,Y,Y,154,,,,,,,Y,,,"LIGHT FIXTURES INTER-CHANGEABLE, DIFFERENT OPTIONS AVAILABLE.",Y,,Gas,,1,Built-In,,,,Forced Air,,37:23.0,Y,Y,,Ensuite,,00:00.0,,,,,,,,,,,,,Owned,Bas,Tba,Tba,519900,New,300,X7264580,,,,Windsor,50.01,Windsor,1,45-60 DAYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519900,,11650871,,Owned,,None,Main/Tba,,,,0,Open,,Restrict,37:31.0,,,,,,,00:00.0,,Y,Public Transit,Rec Centre,School,School Bus Route,,,Tba,,,RE/MAX PARAMOUNT REALTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,Sale,,,,,,,,,,Unknown,,,,,,900-999,Erie,E,781,St,A,3,Apartment,0,,34:12.0,1,,,.2.,Comm Element Condo,,,304,N,,,,,,,,,,,,,Y,,3,,,,,1,Main,,,,,,,,,00:00.0,,2023,New,N9A 3Y3,RES,"Welcome to the newest edition to Erie St- the highly anticipated Bella Vista Condominiums. These upscale condos are conveniently located in the heart of Erie St. with amenities just steps away from your door. Beautifully designed 3rd floor 1 bedroom, 1 bathroom corner condo unit boasts a perfect blend of modern elegance and urban convenience. With 9' 9"" high ceilings & an abundance of natural light, this residence offers a truly open & airy feel. Open concept living room, dining area, large kitchen & lots of natural light throughout. Ceramic tile floors throughout & custom cabinetry, S/S appliances., ensuite laundry & large private balcony. This condo offers an opportunity to live in a space that seamlessly blends, comfort, luxury, sophistication and urban convenience. Unit includes parking & storage locker. Rooftop amenity space accessible to residence with 365 degree views of the city."
Wall Unit,,,,2812 Ontario St E,Y,,,422,Canada,X99,,,3,Bbqs Allowed,Bike Storage,Gym,Party/Meeting Room,Rooftop Deck/Garden,,3,,None,,,Y,,,,,500,,,,,,Mellem,W,Brick Front,Concrete,0,Quebec,Montgomery St.,N,Y,152,,,,,,,Y,,,Parking and storage extra ($),N,,Electric,Part,0,Underground,,,Y,Baseboard,Y,43:25.0,,Y,,Ensuite,Main,00:00.0,Main,,,,Main,Main,Main,Main,Main,Main,Main,,Exclusive,,,,2940,New,,X7272380,,,,Montreal,X99.12,Montreal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2940,,,,Rental,,None,,,,,0,Open,,Restrict,43:28.0,,.AA.,Entire Property,,,,00:00.0,,,Public Transit,Rec Centre,School,,,,Mellem Ville-Marie,N,N,SEARCH REALTY CORP.,3 Pc Ensuite,,,3.6,Br,2.71,,,,,,,,,,,,,,,,,,,,,,2.56,2nd Br,3.6,,,,2.83,3rd Br,2.78,,,,3.72,Living,2.77,Combined W/Dining,,,3.38,Kitchen,5.89,,,,3.32,Bathroom,1.89,,,,1.37,Bathroom,2.16,Balcony,,,4.88,Other,1.25,,,,,,,7,,,,,,,Lease,,,,,,,,,,Unknown,,,,,,1000-1199,Ontario,E,2812,St,A,4th,Apartment,,,34:10.0,0,,,.C.,Condo Apt,No,,422,N,,,,,,,,,,,,,Y,,3,3,,,,1,Main,2,Main,,,,,,,00:00.0,,,New,H2K 0E4,,"Welcome to a vibrant neighborhood where you can enjoy both the city and its green spaces. It's a place where you can discover new places and create new routines. Expected delivery in March 2024. All-inclusive package with window dressings, as well as access to shared spaces and building services. Diverse shared spaces include a rooftop urban farm with 6,500 sq. ft. of agricultural space, a gym, a lounge, collaborative workspace, a communal kitchen with a grand fireplace, a public square with nearby shops, and a lush inner courtyard."
Wall Unit,,,,2812 Ontario St E,Y,,,623,Canada,X99,,,1,Bbqs Allowed,Bike Storage,Gym,Party/Meeting Room,Rooftop Deck/Garden,,3,,None,,,Y,,,,,500,,,,,,Mellem,W,Brick Front,Concrete,0,Quebec,Montgomery St.,N,Y,152,,,,,,,Y,,,,N,,Electric,Part,0,Underground,,N,Y,Baseboard,Y,44:02.0,,Y,,Ensuite,Main,00:00.0,Main,,,,Main,Main,Main,Main,Main,Main,,,Exclusive,,,,3345,New,,X7272386,,,,Montreal,X99.12,Montreal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3345,,,,Rental,,None,,,,,0,Open,,Restrict,44:05.0,,.AA.,Entire Property,,,,00:00.0,,,Public Transit,Rec Centre,School,,,,Mellem Ville-Marie,N,N,SEARCH REALTY CORP.,W/I Closet,,,3.63,Br,3.17,,,,,,,,,,,,,,,,,,,,,,3.63,2nd Br,2.71,,,,3.02,3rd Br,3.29,,,,4.79,Living,3.41,Combined W/Dining,,,4.79,Kitchen,3.51,,,,3.02,Bathroom,2.17,Balcony,,,5,Other,1.25,,,,,,,,,,,,,7,,,,,,,Lease,,,,,,,,,,Unknown,,,,,,1000-1199,Ontario,E,2812,St,A,6th,Apartment,,,34:09.0,0,,,.C.,Condo Apt,No,,623,N,,,,,,,,,,,,,Y,,4,,,,,1,,,,,,,,,,00:00.0,,,New,H2K 0E4,,"Welcome to a vibrant neighborhood where you can enjoy both the city and its green spaces. It's a place where you can discover new places and create new routines. Expected delivery in March 2024. All-inclusive package with window dressings, as well as access to shared spaces and building services. Diverse shared spaces include a rooftop urban farm with 6,500 sq. ft. of agricultural space, a gym, a lounge, collaborative workspace, a communal kitchen with a grand fireplace, a public square with nearby shops, and a lush inner courtyard."
Wall Unit,,,,2812 Ontario St E,Y,,,521,Canada,X99,,,1,Bbqs Allowed,Bike Storage,Gym,Party/Meeting Room,Rooftop Deck/Garden,,3,,None,,,Y,,,,,500,,,,,,Mellem,W,Brick Front,Concrete,0,Quebec,Montgomery St.,N,Y,152,,,,,,,Y,,,Parking and Storage extra ($),N,,Electric,Part,0,Underground,,,Y,Baseboard,Y,45:02.0,,Y,,Ensuite,Main,00:00.0,Main,,,,Main,Main,Main,Main,Main,Main,,,Exclusive,,,,3330,New,,X7272388,,,,Montreal,X99.12,Montreal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330,,,,Rental,,None,,,,,0,Open,,Restrict,45:10.0,,.AA.,Entire Property,,,,00:00.0,,,Public Transit,Rec Centre,School,,,,Mellem Ville-Marie,N,N,SEARCH REALTY CORP.,,,,3.35,Br,3.14,,,,,,,,,,,,,,,,,,,,,,3.35,2nd Br,3.02,,,,2.8,3rd Br,2.77,Combined W/Dining,,,6.16,Kitchen,3.35,,,,2.07,Bathroom,4.24,,,,3.38,Living,3.26,Balcony,,,5.88,Other,3.78,,,,,,,,,,,,,6,,,,,,,Lease,,,,,,,,,,Unknown,,,,,,1000-1199,Ontario,E,2812,St,A,5th,Apartment,,,34:10.0,0,,,.C.,Condo Apt,No,,521,N,,,,,,,,,,,,,Y,,4,,,,,1,,,,,,,,,,00:00.0,,,New,H2K 0E4,,"Welcome to a vibrant neighborhood where you can enjoy both the city and its green spaces. It's a place where you can discover new places and create new routines. Expected delivery in March 2024. All-inclusive package with window dressings, as well as access to shared spaces and building services. Diverse shared spaces include a rooftop urban farm with 6,500 sq. ft. of agricultural space, a gym, a lounge, collaborative workspace, a communal kitchen with a grand fireplace, a public square with nearby shops, and a lush inner courtyard."
Wall Unit,,,,2808 Ontario St E,Y,,,606,Canada,X99,,,1,Bbqs Allowed,Bike Storage,Gym,Party/Meeting Room,Rooftop Deck/Garden,,2,,None,,,Y,,,,,500,,,,,,Mellem,W,Brick Front,Concrete,0,Quebec,Montgomery St.,N,Y,152,,,,,,,Y,,,Parking and Storage extra ($),N,,Electric,Part,0,Underground,,,Y,Baseboard,Y,45:28.0,,Y,,Ensuite,Main,00:00.0,Main,,,,Main,Main,Main,Main,Main,,,,Exclusive,,,,2490,New,,X7272390,,,,Montreal,X99.12,Montreal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490,,,,Rental,,None,,,,,0,Open,,Restrict,45:31.0,,.AA.,Entire Property,,,,00:00.0,,,Public Transit,Rec Centre,School,,,,Mellem Ville-Marie,N,N,SEARCH REALTY CORP.,,,,3.38,Br,2.47,,,,,,,,,,,,,,,,,,,,,,3.38,2nd Br,2.17,,,,2.9,Living,3.69,Combined W/Dining,,,4.66,Kitchen,3.81,,,,2.32,Bathroom,3.35,Balcony,,,5.06,Other,1.52,,,,,,,,,,,,,,,,,,,6,,,,,,,Lease,,,,,,,,,,Unknown,,,,,,700-799,Ontario,E,2808,St,A,6th,Apartment,,,34:10.0,0,,,.C.,Condo Apt,No,,606,N,,,,,,,,,,,,,Y,,3,,,,,1,,,,,,,,,,00:00.0,,,New,H2K 0E3,,"Welcome to a vibrant neighborhood where you can enjoy both the city and its green spaces. It's a place where you can discover new places and create new routines. Expected delivery in March 2024. All-inclusive package with window dressings, as well as access to shared spaces and building services. Diverse shared spaces include a rooftop urban farm with 6,500 sq. ft. of agricultural space, a gym, a lounge, collaborative workspace, a communal kitchen with a grand fireplace, a public square with nearby shops, and a lush inner courtyard."
Wall Unit,,,,2812 Ontario St E,Y,,,603,Canada,X99,,,1,Bbqs Allowed,Bike Storage,Gym,Party/Meeting Room,Rooftop Deck/Garden,,1,,None,,,Y,,,,,500,,,,,,Mellem,W,Brick Front,Concrete,0,Quebec,Montgomery St.,N,Y,152,,,,,,,Y,,,Parking and Storage Extra ($),N,,Electric,Part,0,Underground,,,Y,Baseboard,Y,45:59.0,,Y,,Ensuite,Main,00:00.0,Main,,,,Main,Main,Main,Main,,,,,Exclusive,,,,1900,New,,X7272392,,,,Montreal,X99.12,Montreal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,,,,Rental,,None,,,,,0,Open,,Restrict,46:06.0,,.AA.,Entire Property,,,,00:00.0,,,Public Transit,Rec Centre,School,,,,Mellem Ville-Marie,N,N,SEARCH REALTY CORP.,W/I Closet,Irregular Rm,,3.93,Br,3.08,,,,,,,,,,,,,,,,,,,,,,2.8,Living,3.05,Combined W/Dining,,,2.8,Kitchen,3.08,,,,2.07,Bathroom,2,Balcony,,,5,Other,1.52,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,Lease,,,,,,,,,,Unknown,,,,,,500-599,Ontario,E,2812,St,A,6th,Apartment,,,34:10.0,0,,,.C.,Condo Apt,No,,603,N,,,,,,,,,,,,,Y,,3,,,,,1,,,,,,,,,,00:00.0,,,New,H2K 0E4,,"Welcome to a vibrant neighborhood where you can enjoy both the city and its green spaces. It's a place where you can discover new places and create new routines. Expected delivery in March 2024. All-inclusive package with window dressings, as well as access to shared spaces and building services. Diverse shared spaces include a rooftop urban farm with 6,500 sq. ft. of agricultural space, a gym, a lounge, collaborative workspace, a communal kitchen with a grand fireplace, a public square with nearby shops, and a lush inner courtyard."
Central Air,,,,55 Cooper St,,,,5805,Toronto,1,,,2,Concierge,Exercise Room,Gym,Lap Pool,Party/Meeting Room,,2,,None,,,,,,,,1/2 +Hst,Y,Waterfront Communities C8,01.C08.1002,,,tscc,Ne,Metal/Side,Other,0,Ontario,Yonge St/ Queen's Quay East,N,Y,157,,,,,,,,N,,*** Bell Internet (Wi-fi) is included***,N,,Gas,N,0,None,,,,Forced Air,,05:30.0,Y,Y,,Ensuite,,00:00.0,Flat,,,,Flat,Flat,Flat,,,,,,None,,,,3300,Pc,,C7256540,,,,Toronto,01.C08,Toronto C08,1,imme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,,,,None,,Facilities,,,,,0,Open,,Restrict,05:34.0,,.AA.,Entire Property,,,,,Ext,,Beach,Lake Access,Lake/Pond,Public Transit,,,Menkes Property Management,N,,FIRST CLASS REALTY INC.,Laminate,Open Concept,W/O To Balcony,5.46,Living,3.99,,,,,,,,,,,,,,,,,,,Combined W/Living,Modern Kitchen,B/I Appliances,,Kitchen,,Laminate,W/O To Balcony,4 Pc Ensuite,2.93,Prim Bdrm,2.62,Laminate,Closet,Large Window,2.93,2nd Br,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,Lease,,,,,,,,,,Accessibility,,,,,,700-799,Cooper,,55,St,A,58,Apartment,,,30:57.0,0,,,.C.,Condo Apt,,,5,N,,,,,,,,,,,,,,,3,,,,,2,Flat,,,,,,,,,00:00.0,40:23.0,,New,M5E 0G1,,"Welcome to Sugar Wharf West Tower where luxury meets lifestyle. This brand new never lived in 2 bedroom 2 bathroom executive corner unit comes with gorgeous city and lake views, open concept floor plan, a wrap-around large balcony and a location that deserves attention. With amenities such as an indoor lap pool, 24-hour concierge, state-of-the-art fitness centre, kids party room and play area, and expansive outdoor landscaped terrace with BBQ and dining areas, this luxurious project is surrounded by world-class amenities accessible within walking distance to the Lake, St. Lawrence Market, Restaurants, Farm Boy and Loblaws (across the street), LCBO, Union Station, Scotia Plaza, George Brown College, Toronto Metropolitan University, and the entire Downtown Core."
Central Air,,,,266 Finch Ave E,,,,14,Toronto,1,,,2,,,,,,,2,,None,,,Y,,,,,2.5%+Hst,Y,Newtonbrook East,01.C14.0520,,,TBD,S,Brick,,0,Ontario,Bayview And Finch Ave,N,Y,150,,,,,,,,,,,N,,Gas,,1,Underground,,,Y,Forced Air,,58:06.0,,Y,,Ensuite,Upper,00:00.0,Main,,,,Main,Main,Upper,Upper,,,,,None,,,,899000,Exp,374.04,C7274600,,,,Toronto,01.C14,Toronto C14,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899000,,,,Owned,,Undergrnd,,,,,1,Open,,Restrict,58:08.0,,,,,,,00:00.0,New,Y,,,,,,,Crossbridge Condominium Services Ltd.,,,SELLING TORONTO REAL ESTATE INC.,Combined W/Dining,Laminate,,6.91,Living,3,,,,,,,,,,,,,,,,,,,Combined W/Living,Laminate,,6.91,Dining,3,B/I Appliances,Stainless Steel Appl,Combined W/Dining,,Kitchen,,Laminate,,Laminate,3.53,2nd Br,2.6,Large Closet,Laminate,Laminate,3.44,Prim Bdrm,2.88,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,Sale,,,,,,,,,,Unknown,,,,,,700-799,Finch,E,266,Ave,U,M,Stacked Townhse,7492.92,,16:17.0,1,,,.T.,Condo Townhouse,,00:00.0,14,N,,,,,,,,,,,,,,,2,,4,,,1,Main,,,1,2nd,,,,,00:00.0,,2022,New,M2N 0L3,,"Attention To Investors!!!! Turn Key Property, Tenants Is Staying Until June/2023 Or More! Amazing Location At Bayview And Finch Area, Brand New Stacked Townhouse In Willowdale Area .Appro.3-5 Minutes Drive To Finch Subway. Close To Schools, Bayview Village, North York Center, Seneca College, And More. Excellent For Investment!!! Extras:Appliances Package From Builder, Fridge, Stove, Dishwasher, Microwave, Washer, And Dryer"
Central Air,,,,111 Elizabeth St,,,,1823,Toronto,1,,,2,,,,,,,2,1,None,,,,,,,,Half Month Rent,,Bay Street Corridor,01.C01.0900,,,TSCC,W,Concrete,,1888,Ontario,Bay/Dundas,N,Y,147,,,,,,,Y,N,,"Sleek Finishes, Stainless steel double door fridge, stove, dishwasher, washer/dryer,",N,,Gas,N,1,Underground,,,,Heat Pump,,28:23.0,,Y,,Ensuite,Main,00:00.0,Flat,,,,Flat,Flat,Flat,Flat,Flat,,,,Exclusive,Und,,,3800,Exp,,C7276476,,,,Toronto,01.C01,Toronto C01,1,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,Exclusive,,Undergrnd,,,,,1,Encl,,N,19:04.0,,.AA.,Entire Property,,,,,Pc,,,,,,,,Brookfield Residential Services Ltd 416-510-8700,Y,N,"INTERNATIONAL REALTY FIRM, INC.",4 Pc Ensuite,Broadloom,W/O To Balcony,4.24,Br,3.12,,,,,,,,,,,,,,,,,,,Mirrored Closet,Hardwood Floor,Large Window,3.17,Br,3.05,Hardwood Floor,Sliding Doors,Mirrored Closet,2.9,Br,2.84,Breakfast Bar,Ceramic Floor,B/I Microwave,3.5,Kitchen,2,Combined W/Dining,Hardwood Floor,W/O To Balcony,6.07,Living,4.8,Combined W/Living,Hardwood Floor,Open Concept,6.07,Dining,4.8,,,,,,,,,,,,,,,,,,,6,1,,,,,,Lease,,,,,,,,,,Unknown,,,,,,1000-1199,Elizabeth,,111,St,U,18,Apartment,,,17:10.0,1,,,.C.,Condo Apt,No,00:00.0,23,N,,,,,,,,,,,,,,,5,3,,,,1,Flat,1,Flat,,,,,,,00:00.0,,,06-Oct,M5G 1P7,,"Modern contemporary Chic Living @ 'One City Hall'. Award Winning Diamante. Well Designed Space, Sub Penthouse of 1180 square feet with 9-5 foot ceiling. 41 feet of west facing balcony. Meeting Room, Guest Suites, Spectacular Rooftop Deck with & Water Features. Landmark Location Steps To Subway, Eaton Centre, U of T, OCAD University, Ryerson, Hospitals, Chinatown, Toronto City Hall, Fashion and Entertainment District, 24 Hr Concierge. Underground visitor parking"
